numOnes,Genotype,Tests,Fitness
0,'00000000',2293847,9.0
1,'00000001',66993,1.0
1,'00000010',66884,1.0
2,'00000011',29266,2.0
1,'00000100',66839,1.0
2,'00000101',29146,2.0
2,'00000110',29082,2.0
3,'00000111',21523,3.0
1,'00001000',67125,1.0
2,'00001001',29237,2.0
2,'00001010',29162,2.0
3,'00001011',21761,3.0
2,'00001100',29225,2.0
3,'00001101',21790,3.0
3,'00001110',21845,3.0
4,'00001111',22518,4.0
1,'00010000',66978,1.0
2,'00010001',28869,2.0
2,'00010010',29221,2.0
3,'00010011',21610,3.0
2,'00010100',29214,2.0
3,'00010101',21888,3.0
3,'00010110',21919,3.0
4,'00010111',22481,4.0
2,'00011000',29137,2.0
3,'00011001',21762,3.0
3,'00011010',21691,3.0
4,'00011011',22684,4.0
3,'00011100',21950,3.0
4,'00011101',22799,4.0
4,'00011110',22944,4.0
5,'00011111',29349,5.0
1,'00100000',66546,1.0
2,'00100001',29059,2.0
2,'00100010',29039,2.0
3,'00100011',21670,3.0
2,'00100100',29183,2.0
3,'00100101',21773,3.0
3,'00100110',21478,3.0
4,'00100111',22783,4.0
2,'00101000',28964,2.0
3,'00101001',21855,3.0
3,'00101010',22069,3.0
4,'00101011',22553,4.0
3,'00101100',21607,3.0
4,'00101101',22632,4.0
4,'00101110',22406,4.0
5,'00101111',29102,5.0
2,'00110000',29430,2.0
3,'00110001',21624,3.0
3,'00110010',21800,3.0
4,'00110011',22918,4.0
3,'00110100',21776,3.0
4,'00110101',22719,4.0
4,'00110110',22592,4.0
5,'00110111',29331,5.0
3,'00111000',21779,3.0
4,'00111001',22686,4.0
4,'00111010',22649,4.0
5,'00111011',29284,5.0
4,'00111100',22549,4.0
5,'00111101',29250,5.0
5,'00111110',29397,5.0
6,'00111111',43324,6.0
1,'01000000',66848,1.0
2,'01000001',29151,2.0
2,'01000010',29363,2.0
3,'01000011',21772,3.0
2,'01000100',29361,2.0
3,'01000101',21720,3.0
3,'01000110',21872,3.0
4,'01000111',22635,4.0
2,'01001000',29117,2.0
3,'01001001',21848,3.0
3,'01001010',21806,3.0
4,'01001011',22588,4.0
3,'01001100',21909,3.0
4,'01001101',22464,4.0
