t, ni, rep, g, s, ph, d, rank, p, fitness, extra, genes, DateTime, mil
00:00:00:00.006, 00:00:00:00.000, 0, 1, 0.1666667, S, 0.00e+00, 0, 0.00000000000000000, 5.90000000000000000e+01, , 0011 0100 1000 0011 1001 0011 1100 0010 1100 1010 1001 0101 1110 1111 1100 1111 1000 1011 1111 1110 1101 1111 1101 0010 0111, Mon Apr 27 20:17:48 CST 2026, 6
00:00:00:00.045, 00:00:00:00.039, 0, 1, 0.0222222, R, 2.70e+01, 3, 0.00000000000000000, 6.40000000000000000e+01, , 0111 0111 0000 0011 1000 1011 1101 0100 1001 1011 1101 0101 1111 1111 0100 1111 1011 1100 1111 1100 0100 1111 1110 1110 0111, Mon Apr 27 20:17:48 CST 2026, 45
00:00:00:00.057, 00:00:00:00.002, 0, 3, 0.0526316, R, 1.40e+01, 2, 0.00000000000000000, 6.60000000000000000e+01, , 0111 1110 1000 0011 1000 0011 1100 0100 1100 1011 1101 0101 1111 1111 1100 1111 1010 1001 1111 1110 0101 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 57
00:00:00:00.065, 00:00:00:00.001, 0, 5, 0.0769231, R, 3.00e+01, 6, 0.00000000000000000, 7.00000000000000000e+01, , 0111 0110 1011 0101 0000 0101 1111 0110 1011 1111 1101 0111 1111 1111 0101 1010 1101 1100 1111 1101 0111 1110 1110 1110 0111, Mon Apr 27 20:17:48 CST 2026, 65
00:00:00:00.072, 00:00:00:00.000, 0, 8, 0.1111111, M, 1.00e+00, 1, 0.01000000000000000, 7.10000000000000000e+01, , 0111 0110 1011 1101 0000 0101 1111 0110 1011 1111 1101 0111 1111 1111 0101 1010 1101 1100 1111 1101 0111 1110 1110 1110 0111, Mon Apr 27 20:17:48 CST 2026, 72
00:00:00:00.080, 00:00:00:00.000, 0, 9, 0.1125000, R, 3.50e+01, 10, 0.00000000000000000, 7.20000000000000000e+01, , 1101 1110 1101 0111 1010 1110 1110 1111 1001 1110 1111 0101 1111 1111 0110 1111 1101 1111 1010 0011 0010 1110 1111 1010 0011, Mon Apr 27 20:17:48 CST 2026, 80
00:00:00:00.088, 00:00:00:00.001, 0, 11, 0.1250000, R, 1.30e+01, 2, 0.00000000000000000, 7.30000000000000000e+01, , 0101 1110 1111 0111 0010 0110 1111 1111 1001 1111 1101 0101 1111 1111 0100 1111 1101 1101 1011 0111 0110 1110 1111 1010 0111, Mon Apr 27 20:17:48 CST 2026, 88
00:00:00:00.100, 00:00:00:00.003, 0, 17, 0.1700000, R, 3.00e+00, 3, 0.00000000000000000, 7.40000000000000000e+01, , 0101 1110 1111 0111 0010 0110 1111 1111 1001 1111 1101 0101 1111 1111 0100 1110 1101 1101 1111 0111 0110 1110 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 100
00:00:00:00.111, 00:00:00:00.001, 0, 21, 0.1891892, R, 1.00e+00, 2, 0.00000000000000000, 7.50000000000000000e+01, , 0101 1110 1111 0111 0010 0110 1111 1111 1001 1111 1101 0101 1111 1111 0100 1111 1101 1101 1111 0111 0110 1110 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 111
00:00:00:00.120, 00:00:00:00.002, 0, 30, 0.2500000, M, 3.00e+00, 2, 0.02511612770301124, 7.60000000000000000e+01, , 0101 1110 1111 0111 0010 0110 1111 1111 1001 1111 1101 0101 1111 1111 0100 1111 1101 1111 1111 0111 0110 1111 1111 0110 0111, Mon Apr 27 20:17:48 CST 2026, 120
00:00:00:00.127, 00:00:00:00.001, 0, 33, 0.2598425, R, 1.00e+00, 2, 0.00000000000000000, 7.70000000000000000e+01, , 0101 1110 1111 0111 0010 0110 1111 1111 1001 1111 1101 0101 1111 1111 0100 1111 1101 1111 1111 0111 0110 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 127
00:00:00:00.135, 00:00:00:00.001, 0, 37, 0.2740741, R, 1.00e+00, 3, 0.00000000000000000, 7.80000000000000000e+01, , 1101 1110 1111 0111 0010 0110 1111 1111 1001 1111 1101 0101 1111 1111 0100 1111 1101 1111 1111 0111 0110 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 135
00:00:00:00.142, 00:00:00:00.003, 0, 45, 0.3169014, R, 1.40e+01, 14, 0.00000000000000000, 8.00000000000000000e+01, , 1101 0111 1110 1111 0110 1010 1111 1111 1001 1111 1101 0111 1111 1111 0111 1111 1111 1110 1111 0011 0110 1111 1011 1110 0111, Mon Apr 27 20:17:48 CST 2026, 142
00:00:00:00.149, 00:00:00:00.001, 0, 47, 0.3154362, R, 7.00e+00, 2, 0.00000000000000000, 8.10000000000000000e+01, , 1101 1111 1111 0111 0110 1010 1111 1111 1001 1111 1101 0111 1111 1101 0111 1111 1111 1111 1111 0011 0010 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 149
00:00:00:00.158, 00:00:00:00.000, 0, 49, 0.3101266, R, 1.20e+01, 7, 0.00000000000000000, 8.50000000000000000e+01, , 1100 0111 1111 0111 0010 1111 1111 1111 1101 1111 1101 1101 1111 1111 0111 1111 1111 1111 1111 1011 0111 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 158
00:00:00:00.166, 00:00:00:00.001, 0, 51, 0.3072289, R, 6.00e+00, 3, 0.00000000000000000, 8.70000000000000000e+01, , 1101 1111 1111 0111 0010 1111 1111 1111 1101 1111 1111 1111 1111 1111 0111 1111 1111 1111 1111 1011 0010 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 166
00:00:00:00.175, 00:00:00:00.002, 0, 57, 0.3257143, R, 4.00e+00, 8, 0.00000000000000000, 8.90000000000000000e+01, , 1101 1111 1111 0111 0011 1111 1111 1111 1101 1111 1111 1111 0111 1111 0111 1111 1111 1111 1111 1011 0111 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 175
00:00:00:00.184, 00:00:00:00.000, 0, 59, 0.3206522, R, 3.00e+00, 2, 0.00000000000000000, 9.00000000000000000e+01, , 1111 1111 1111 0111 0010 1111 1111 1111 1101 1111 1111 1111 1111 1111 0111 1111 1111 1111 1111 1011 0111 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 184
