repetition,repetition_seed,evaluations,best_fitness,elapsed_ms,termination_reason
0,1,15420,100.00000000000000,348,"goal"
1,2,10500,100.00000000000000,213,"goal"
2,3,12700,100.00000000000000,240,"goal"
3,4,10580,100.00000000000000,304,"goal"
4,5,11420,100.00000000000000,282,"goal"
5,6,7260,100.00000000000000,277,"goal"
6,7,5900,100.00000000000000,256,"goal"
7,8,11980,100.00000000000000,293,"goal"
8,9,6820,100.00000000000000,388,"goal"
9,10,8140,100.00000000000000,228,"goal"
10,11,6500,100.00000000000000,224,"goal"
11,12,16860,100.00000000000000,358,"goal"
12,13,17180,100.00000000000000,278,"goal"
13,14,7700,100.00000000000000,180,"goal"
14,15,6420,100.00000000000000,172,"goal"
15,16,7620,100.00000000000000,239,"goal"
16,17,8980,100.00000000000000,251,"goal"
17,18,10340,100.00000000000000,243,"goal"
18,19,8220,100.00000000000000,220,"goal"
19,20,6740,100.00000000000000,193,"goal"
20,21,6620,100.00000000000000,344,"goal"
21,22,7780,100.00000000000000,249,"goal"
22,23,5660,100.00000000000000,179,"goal"
23,24,11860,100.00000000000000,221,"goal"
24,25,11580,100.00000000000000,235,"goal"
25,26,9220,100.00000000000000,251,"goal"
26,27,8180,100.00000000000000,217,"goal"
27,28,13580,100.00000000000000,285,"goal"
28,29,7140,100.00000000000000,212,"goal"
29,30,8100,100.00000000000000,222,"goal"
30,31,16100,100.00000000000000,372,"goal"
31,32,3620,100.00000000000000,265,"goal"
32,33,6460,100.00000000000000,239,"goal"
33,34,15860,100.00000000000000,252,"goal"
34,35,12820,100.00000000000000,241,"goal"
35,36,10260,100.00000000000000,203,"goal"
36,37,13740,100.00000000000000,214,"goal"
37,38,17060,100.00000000000000,224,"goal"
38,39,8900,100.00000000000000,171,"goal"
39,40,9260,100.00000000000000,170,"goal"
40,41,7820,100.00000000000000,167,"goal"
41,42,7820,100.00000000000000,184,"goal"
42,43,13060,100.00000000000000,195,"goal"
43,44,7620,100.00000000000000,140,"goal"
44,45,5460,100.00000000000000,138,"goal"
45,46,12820,100.00000000000000,184,"goal"
46,47,9300,100.00000000000000,176,"goal"
47,48,16660,100.00000000000000,208,"goal"
48,49,13220,100.00000000000000,195,"goal"
49,50,13900,100.00000000000000,238,"goal"
50,51,10900,100.00000000000000,173,"goal"
51,52,10140,100.00000000000000,179,"goal"
52,53,9380,100.00000000000000,272,"goal"
53,54,9180,100.00000000000000,304,"goal"
54,55,12140,100.00000000000000,314,"goal"
55,56,8860,100.00000000000000,296,"goal"
56,57,7740,100.00000000000000,181,"goal"
57,58,5820,100.00000000000000,208,"goal"
58,59,8780,100.00000000000000,145,"goal"
59,60,6220,100.00000000000000,153,"goal"
60,61,9500,100.00000000000000,227,"goal"
61,62,10540,100.00000000000000,189,"goal"
62,63,9100,100.00000000000000,231,"goal"
63,64,9140,100.00000000000000,190,"goal"
64,65,6900,100.00000000000000,191,"goal"
65,66,14460,100.00000000000000,275,"goal"
66,67,11100,100.00000000000000,314,"goal"
67,68,6380,100.00000000000000,343,"goal"
68,69,7700,100.00000000000000,360,"goal"
69,70,11100,100.00000000000000,265,"goal"
70,71,7300,100.00000000000000,242,"goal"
71,72,7820,100.00000000000000,207,"goal"
72,73,10740,100.00000000000000,211,"goal"
73,74,6140,100.00000000000000,270,"goal"
74,75,15100,100.00000000000000,272,"goal"
75,76,6500,100.00000000000000,230,"goal"
76,77,8380,100.00000000000000,182,"goal"
77,78,7500,100.00000000000000,178,"goal"
78,79,4500,100.00000000000000,164,"goal"
79,80,5660,100.00000000000000,188,"goal"
80,81,9420,100.00000000000000,194,"goal"
81,82,5660,100.00000000000000,235,"goal"
82,83,10580,100.00000000000000,234,"goal"
83,84,5740,100.00000000000000,169,"goal"
84,85,7420,100.00000000000000,208,"goal"
85,86,3860,100.00000000000000,212,"goal"
86,87,6540,100.00000000000000,181,"goal"
87,88,5300,100.00000000000000,162,"goal"
88,89,13620,100.00000000000000,200,"goal"
89,90,8300,100.00000000000000,159,"goal"
90,91,4540,100.00000000000000,128,"goal"
91,92,9740,100.00000000000000,197,"goal"
92,93,6780,100.00000000000000,157,"goal"
93,94,10860,100.00000000000000,189,"goal"
94,95,9340,100.00000000000000,170,"goal"
95,96,19460,100.00000000000000,232,"goal"
96,97,12620,100.00000000000000,189,"goal"
97,98,6780,100.00000000000000,151,"goal"
98,99,7700,100.00000000000000,160,"goal"
99,100,12500,100.00000000000000,244,"goal"
